maze_size,obstacle_density,maze_complexity_score,algorithm,path_length,optimality_ratio,success_rate,computation_time,nodes_expanded,token_usage,raw_output,path_validity_check,scenario
"(4, 4)",0.0625,6.25,BFS,3.0,1.0,1.0,6.628036499023438e-05,9.0,,,True,Random_0.1D
"(4, 4)",0.0625,6.25,A_Star,3.0,1.0,1.0,4.6253204345703125e-05,6.0,,,True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_zero_shot_ascii,inf,inf,0.0,1.9517650604248047,,216.0,"[(2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (1, 3), (2, 3)]",False,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_zero_shot_coordinate_list,inf,inf,0.0,1.5177738666534424,,243.0,"[(3, 0), (2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (0, 3), (1, 3), (2, 3), (2, 2)]",False,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_zero_shot_flattened_array,3.0,1.0,1.0,0.7826929092407227,,235.0,"[(3, 0), (2, 0), (2, 1), (2, 2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_few_shot_ascii,inf,inf,0.0,0.11310887336730957,,231.0,"[(2, 0), (2, 1), (2, 2), (1, 2), (0, 2), (0, 3)]",False,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_few_shot_coordinate_list,3.0,1.0,1.0,0.7861990928649902,,260.0,"[(3, 0), (2, 0), (2, 1), (2, 2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_few_shot_flattened_array,3.0,1.0,1.0,1.3951821327209473,,288.0,"[(3,0), (2,0), (2,1), (2,2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_chain_of_thought_ascii,inf,inf,0.0,1.9002115726470947,,357.0,"Maze Dimensions: 4x4
Start: (0, 0)
Goal: (2, 2)

Step-by-Step Plan:
1. Move Right to (0, 1)
2. Move Down to (1, 1)
3. Move Down to (2, 1)
4. Move Right to (2, 2)

Final Path List: [(0, 0), (0, 1), (1, 1), (2, 1), (2, 2)]",False,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_chain_of_thought_coordinate_list,inf,inf,0.0,2.2379162311553955,,501.0,"Maze dimensions: 4x4
Start: (3,0)
Goal: (2,2)
Obstacles: [(1,3)]

Step-by-step plan:
1. Move down from (3,0) to (2,0)
2. Move right from (2,0) to (2,1)
3. Move up from (2,1) to (1,1)
4. Move right from (1,1) to (1,2)
5. Move down from (1,2) to (0,2)
6. Move right from (0,2) to (0,3)
7. Move down from (0,3) to (1,3) (avoid obstacle)
8. Move down from (1,3) to (2,3)
9. Move left from (2,3) to (2,2)

Final Path List: [(3,0), (2,0), (2,1), (1,1), (1,2), (0,2), (0,3), (1,3), (2,3), (2,2)]",False,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-3.5-turbo_chain_of_thought_flattened_array,inf,inf,0.0,1.8366565704345703,,402.0,"Dimensions: 4x4
Start: (3, 0)
Goal: (2, 2)

Step-by-Step Plan:
1. Move Down from (3, 0) to (2, 0)
2. Move Right from (2, 0) to (2, 1)
3. Move Right from (2, 1) to (2, 2)

Final Path List:
[(3, 0), (2, 0), (2, 1), (2, 2)]",False,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4-turbo_zero_shot_ascii,inf,inf,0.0,4.0423479080200195,,222.0,"[(3, 0), (2, 0), (1, 0), (0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (2, 3)]",False,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4-turbo_zero_shot_coordinate_list,3.0,1.0,1.0,2.0437116622924805,,207.0,"[(3, 0), (3, 1), (3, 2), (2, 2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4-turbo_zero_shot_flattened_array,3.0,1.0,1.0,1.5635528564453125,,235.0,"[(3, 0), (3, 1), (3, 2), (2, 2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4-turbo_few_shot_ascii,inf,inf,0.0,2.1121232509613037,,240.0,"[(3,0), (2,0), (1,0), (0,0), (0,1), (0,2), (1,2), (2,2), (2,3)]",False,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4-turbo_few_shot_coordinate_list,3.0,1.0,1.0,2.479586601257324,,256.0,"[(3,0), (3,1), (3,2), (2,2)]",True,Random_0.1D
"(4, 4)",0.0625,6.25,LLM_gpt-4-turbo_few_shot_flattened_array,3.0,1.0,1.0,3.2125165462493896,,292.0,"[(3, 0), (3, 1), (3, 2), (2, 2)]",True,Random_0.1D
